# Test case N=17
# Seed used: 1017
GRID_WIDTH 10
GRID_HEIGHT 10
START 0,0
TARGET 9,9
OBSTACLE_COUNT 17
OBSTACLES
1,0
1,2
1,3
1,6
1,9
2,7
2,8
3,2
4,8
5,2
5,3
6,7
6,9
7,1
7,4
8,3
9,3
EDGE_WEIGHTS_HORIZONTAL
# format: x,y,weight  -- edge between (x,y) and (x+1,y)
0,0,8
1,0,4
2,0,6
3,0,2
4,0,5
5,0,5
6,0,7
7,0,6
8,0,8
0,1,2
1,1,5
2,1,3
3,1,3
4,1,4
5,1,3
6,1,3
7,1,7
8,1,5
0,2,8
1,2,1
2,2,4
3,2,7
4,2,5
5,2,7
6,2,2
7,2,3
8,2,5
0,3,8
1,3,1
2,3,6
3,3,5
4,3,6
5,3,7
6,3,6
7,3,3
8,3,1
0,4,7
1,4,6
2,4,5
3,4,8
4,4,8
5,4,2
6,4,1
7,4,7
8,4,5
0,5,3
1,5,2
2,5,1
3,5,4
4,5,4
5,5,8
6,5,3
7,5,1
8,5,2
0,6,2
1,6,1
2,6,4
3,6,2
4,6,3
5,6,8
6,6,7
7,6,1
8,6,2
0,7,8
1,7,8
2,7,5
3,7,2
4,7,5
5,7,6
6,7,7
7,7,1
8,7,7
0,8,5
1,8,1
2,8,2
3,8,2
4,8,2
5,8,5
6,8,7
7,8,3
8,8,4
0,9,6
1,9,2
2,9,6
3,9,3
4,9,1
5,9,3
6,9,4
7,9,2
8,9,4
EDGE_WEIGHTS_VERTICAL
# format: x,y,weight  -- edge between (x,y) and (x,y+1)
0,0,7
1,0,2
2,0,5
3,0,5
4,0,1
5,0,8
6,0,8
7,0,5
8,0,2
9,0,8
0,1,8
1,1,8
2,1,2
3,1,8
4,1,5
5,1,3
6,1,7
7,1,7
8,1,2
9,1,2
0,2,5
1,2,1
2,2,2
3,2,6
4,2,7
5,2,1
6,2,2
7,2,8
8,2,8
9,2,3
0,3,1
1,3,3
2,3,6
3,3,4
4,3,1
5,3,5
6,3,2
7,3,4
8,3,8
9,3,3
0,4,6
1,4,6
2,4,3
3,4,4
4,4,1
5,4,8
6,4,2
7,4,2
8,4,3
9,4,6
0,5,8
1,5,2
2,5,3
3,5,5
4,5,1
5,5,3
6,5,6
7,5,7
8,5,6
9,5,7
0,6,2
1,6,5
2,6,4
3,6,2
4,6,7
5,6,7
6,6,8
7,6,8
8,6,4
9,6,7
0,7,1
1,7,2
2,7,3
3,7,2
4,7,6
5,7,5
6,7,4
7,7,6
8,7,4
9,7,8
0,8,6
1,8,7
2,8,8
3,8,7
4,8,2
5,8,8
6,8,8
7,8,1
8,8,1
9,8,3
